name,vocab,type,te_flores,en_flores,parity,te_wiki,note
te_bpe_32k_large,32000,BPE,1.55,2.47,0.62,1.85,te_bpe_32k_large.model
te_unigram_32k_large,32000,Unigram,1.55,2.51,0.62,1.85,te_unigram_32k_large.model
saiteja_50k,50000,Unigram/BPE,1.64,1.28,1.28,1.47,Saiteja/telugu-bpe
te_unigram_16k_large,16000,Unigram,1.68,2.96,0.57,2.07,te_unigram_16k_large.model
te_unigram_16k_norm_large,16000,Unigram,1.68,2.74,0.61,2.08,te_unigram_16k_norm_large.model
dravidian_unigram_16k_large,16000,Unigram,1.77,2.72,0.65,2.06,dravidian_unigram_16k_large.model
te_bpe_16k_large,16000,BPE,1.77,2.75,0.64,2.08,te_bpe_16k_large.model
te_bpe_16k_norm_large,16000,BPE,1.77,2.75,0.64,2.08,te_bpe_16k_norm_large.model
joint_bpe_16k_large,16000,BPE,1.91,1.42,1.34,2.29,joint_bpe_16k_large.model
sarvam_262k,262144,Moe-BPE,2.48,1.19,2.08,2.79,sarvamai/sarvam-30b
tiktoken_cl100k,100256,BPE,13.57,1.14,11.9,13.89,OpenAI cl100k_base
